set_id,drug_name,ndc_code,manufacturer,dosage_form,approval_type,warning_level,loinc_code,triggering_text
2315d6e5-144d-4163-9711-f855c759cf8e,APLENZIN,16590-922,STAT RX USA LLC,"TABLET, EXTENDED RELEASE",NDA,silent,,
cdce6a8f-02fc-448c-9a81-3d904e49ef97,DIVALPROEX SODIUM,55648-973,WOCKHARDT LIMITED,"TABLET, DELAYED RELEASE",ANDA,silent,,
8d416349-161d-4232-b6b4-e75214ea4841,Levocetirizine dihydrochloride,54868-2077,"Physicians Total Care, Inc.",TABLET,ANDA,silent,,
b2c3e941-efa9-4688-b45a-ceb758df717d,Zolpidem Tartrate,54868-6215,"Physicians Total Care, Inc.","TABLET, FILM COATED, EXTENDED RELEASE",NDA,silent,,
6b0e60bb-0e9a-45a7-8f92-a43d939f8deb,Phoslo,54868-5691,"Physicians Total Care, Inc.",CAPSULE,NDA,silent,,
17f33d19-9a87-4530-a477-42848f3d3e0c,ERYTHROMYCIN,16590-091,STAT RX USA LLC,"TABLET, FILM COATED",ANDA,silent,,
76678031-5373-498b-b59d-195705e6ac69,Losartan Potassium and Hydrochlorothiazide,54868-6110,"Physicians Total Care, Inc.","TABLET, FILM COATED",ANDA,silent,,
be6f8d00-9281-4f67-b8fc-3de58a4d14f4,Metadate CD,54868-5397,"Physicians Total Care, Inc.","CAPSULE, EXTENDED RELEASE",NDA,silent,,
00f1d83e-93cc-4bbe-9c3b-c488062271ab,FocalinXR,54868-5681,"Physicians Total Care, Inc.","CAPSULE, EXTENDED RELEASE",NDA,silent,,
364238c7-11b0-442e-acd9-4a6f21b9d783,Simvastatin,21695-738,Rebel Distributors Corp,TABLET,ANDA,silent,,
d709812f-e958-4065-a447-c2c00ddd7677,Gemfibrozil,21695-732,Rebel Distributors Corp,"TABLET, FILM COATED",ANDA,silent,,
4b5513c3-b57f-46f1-9855-dad1063aa4c9,Etodolac,54868-3955,"Physicians Total Care, Inc.","TABLET, FILM COATED",ANDA,silent,,
e61ae711-e6d2-44e4-b7d7-943a9d06f985,Ketorolac Tromethamine,54868-4171,"Physicians Total Care, Inc.","TABLET, FILM COATED",ANDA,silent,,
4a23dc55-9877-4b43-ac2c-cd628c0f5038,Anastrozole,67877-171,"Ascend Laboratories, LLC",TABLET,ANDA,silent,,
65d31bc7-c6a6-4515-8e3a-93e0754540b2,Granisetron Hydrochloride,67877-184,"Ascend Laboratories, LLC",TABLET,ANDA,silent,,
c7666def-a855-4ca3-a322-603a88a44101,Anastrozole,67877-171,"Ascend Laboratories, LLC",TABLET,ANDA,silent,,
c8bea68b-3932-4538-b568-a296a8817291,Methyldopa,54868-0050,"Physicians Total Care, Inc.","TABLET, FILM COATED",ANDA,silent,,
